location_id,address,applicant,days_hours,food_items,latitude,longitude,schedule,zip_codes
1336682,860 BROADWAY,Mike's Catering,,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,37.7975789880604,-122.411439886089,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00054&ExportPDF=1&Filename=19MFF-00054_schedule.pdf,308
1430869,160 PINE ST,MOMO INNOVATION LLC,,MOMO spicy noodle: POPO's noodle: Spicy Chicken noodle: Rice Noodles,37.792524940842,-122.399415781865,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=20MFF-00004&ExportPDF=1&Filename=20MFF-00004_schedule.pdf,28860
1430868,101 CALIFORNIA ST,MOMO INNOVATION LLC,,MOMO spicy noodle: POPO's noodle: Spicy Chicken noodle: Rice Noodles,37.7929489528347,-122.398098613167,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=20MFF-00004&ExportPDF=1&Filename=20MFF-00004_schedule.pdf,28860
1382718,1 MONTGOMERY ST,Treats by the Bay LLC,,Sandwich: Donuts: Coffee: Soft Serve Ice Cream: Drinks,37.7892495340751,-122.402418597294,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00127&ExportPDF=1&Filename=19MFF-00127_schedule.pdf,28854
1435110,2535 TAYLOR ST,Datam SF LLC dba Anzu To You,,Asian Fusion - Japanese Sandwiches/Sliders/Misubi,37.805885350101,-122.415945246637,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=20MFF-00005&ExportPDF=1&Filename=20MFF-00005_schedule.pdf,308
934627,1322 04TH ST,May Catering,Mo-Fr:9AM-10AM,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.7638707601661,-122.460600563879,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0110&ExportPDF=1&Filename=17MFF-0110_schedule.pdf,56
1336745,525 PHELPS ST,Park's Catering,,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.7417606496655,-122.389097970195,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00056&ExportPDF=1&Filename=19MFF-00056_schedule.pdf,58
1336746,220 RANKIN ST,Park's Catering,,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.7464697881148,-122.391515238772,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00056&ExportPDF=1&Filename=19MFF-00056_schedule.pdf,58
1336683,409 ILLINOIS ST,Mike's Catering,,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00054&ExportPDF=1&Filename=19MFF-00054_schedule.pdf,
1336754,1000 EVANS AVE,Park's Catering,,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.7377268665958,-122.376572914573,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00056&ExportPDF=1&Filename=19MFF-00056_schedule.pdf,58
